SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Jan-2006,1,38596,38654,39660,39721,34982,0,0,0,0,0,295,296,1997,0,-169,0,1978,0,-169,0,39721
01-Jan-2006,2,38829,38887,39897,39961,35312,0,0,0,0,0,299,303,1997,0,-169,0,1979,0,-169,0,39961
01-Jan-2006,3,38456,38514,39599,39660,35018,0,0,0,0,0,374,377,1998,0,-169,0,1979,0,-169,0,39660
01-Jan-2006,4,37401,37458,38823,38884,34054,0,0,0,0,0,653,657,1998,0,-169,0,1979,0,-169,0,38884
01-Jan-2006,5,36586,36644,37937,38067,33297,0,0,0,0,0,582,585,1998,0,-169,0,1979,0,-169,0,38067
01-Jan-2006,6,36115,36173,37501,37673,32754,0,0,0,0,0,617,624,1998,0,-169,0,1979,0,-169,0,37673
01-Jan-2006,7,34942,34841,37320,37349,31312,0,0,0,0,0,1609,1739,1998,0,-169,0,1978,0,-169,0,37349
01-Jan-2006,8,33454,33446,36151,36269,29908,0,0,0,0,0,1928,2055,1998,0,-169,0,1979,0,-169,0,36269
01-Jan-2006,9,32366,32432,35029,35222,28739,0,0,0,0,0,1894,2020,1999,0,-169,0,1978,0,-169,0,35222
01-Jan-2006,10,31811,31827,34453,34595,28091,0,0,0,0,0,1873,1999,1999,0,-169,0,1979,0,-169,0,34595
01-Jan-2006,11,31013,31033,33680,33949,27359,0,0,0,0,0,1898,2147,1999,0,-169,0,1978,0,-169,0,33949
01-Jan-2006,12,30562,30595,33265,33549,27010,0,0,0,0,0,1934,2185,1998,0,-169,0,1979,0,-169,0,33549
01-Jan-2006,13,30482,30497,33171,33436,27005,0,0,0,0,0,1920,2171,1998,0,-169,0,1978,0,-169,0,33436
01-Jan-2006,14,30114,30068,32781,32991,26668,0,0,0,0,0,1898,2154,1986,0,-169,0,1967,0,-169,0,32991
01-Jan-2006,15,29441,29405,31248,31575,26106,0,0,0,0,0,1038,1400,1713,0,-169,0,1692,0,-169,0,31575
01-Jan-2006,16,28660,28684,29972,30360,25457,0,0,0,0,0,543,907,1410,0,-169,0,1393,0,-169,0,30360
01-Jan-2006,17,28776,28790,30085,30462,25629,0,0,0,0,0,540,903,1402,0,-169,0,1386,0,-169,0,30462
01-Jan-2006,18,29486,29523,30624,31017,26428,0,0,0,0,0,369,726,1402,0,-169,0,1386,0,-169,0,31017
01-Jan-2006,19,30841,30908,31619,32046,27754,0,0,0,0,0,9,369,1547,0,-169,0,1534,0,-169,0,32046
01-Jan-2006,20,32510,32465,33279,33597,29320,0,0,0,0,0,0,363,0,0,-169,0,1969,0,-169,0,33597
01-Jan-2006,21,34280,34331,35053,35461,31050,0,0,0,0,0,4,361,2095,0,-169,0,1879,0,-169,0,35461
01-Jan-2006,22,35855,35869,36627,36934,32474,0,0,0,0,0,3,283,1897,0,-169,0,1879,0,-169,0,36934
01-Jan-2006,23,37221,37279,37993,38052,33684,0,0,0,0,0,3,4,1897,0,-169,0,1879,0,-169,0,38052
01-Jan-2006,24,38304,38340,39076,39113,34642,0,0,0,0,0,3,4,1897,0,-169,0,1879,0,-169,0,39113
01-Jan-2006,25,39150,39174,39922,39948,35386,0,0,0,0,0,3,4,1898,0,-169,0,1879,0,-169,0,39948
01-Jan-2006,26,39434,39422,40206,40199,35615,0,0,0,0,0,3,8,1898,0,-169,0,1880,0,-169,0,40199
01-Jan-2006,27,39467,39432,40239,40359,35636,0,0,0,0,0,3,158,1997,0,-169,0,1979,0,-169,0,40359
01-Jan-2006,28,39192,39182,39965,40110,35355,0,0,0,0,0,4,159,1997,0,-169,0,1979,0,-169,0,40110
01-Jan-2006,29,39116,39081,39889,40009,35360,0,0,0,0,0,4,158,1997,0,-169,0,1979,0,-169,0,40009
01-Jan-2006,30,38734,38742,39507,39668,34996,0,0,0,0,0,4,157,1997,0,-169,0,1979,0,-169,0,39668
01-Jan-2006,31,38868,38876,39642,39651,35095,0,0,0,0,0,5,5,1997,0,-169,0,1979,0,-169,0,39651
01-Jan-2006,32,39628,39669,40403,40444,35787,0,0,0,0,0,6,6,1997,0,-169,0,1979,0,-169,0,40444
01-Jan-2006,33,41634,41698,42429,42490,37547,0,0,0,0,0,6,4,1997,0,-189,0,1979,0,-189,0,42490
01-Jan-2006,34,44019,44029,44911,44919,39697,0,0,0,0,0,7,5,1998,0,-285,0,1979,0,-285,0,44919
01-Jan-2006,35,44790,44790,45705,45703,40486,0,0,0,0,0,6,2,1997,0,-309,0,1979,0,-309,0,45703
01-Jan-2006,36,44688,44676,45601,45588,40450,0,0,0,0,0,7,6,1999,0,-306,0,1979,0,-306,0,45588
01-Jan-2006,37,44151,44154,45028,45028,40005,0,0,0,0,0,9,6,1998,0,-268,0,1979,0,-268,0,45028
01-Jan-2006,38,43651,43689,44504,44542,39505,0,0,0,0,0,5,5,1998,0,-248,0,1978,0,-248,0,44542
01-Jan-2006,39,43276,43206,44110,44032,39125,0,0,0,0,0,10,0,1925,0,-224,0,1905,0,-224,0,44032
01-Jan-2006,40,42348,42294,43128,43077,38216,0,0,0,0,0,11,1,1925,0,-169,0,1905,0,-169,0,43077
01-Jan-2006,41,42029,41990,42811,42770,37820,0,0,0,0,0,13,4,1998,0,-169,0,1979,0,-169,0,42770
01-Jan-2006,42,40787,40764,41573,41547,36728,0,0,0,0,0,17,8,1998,0,-169,0,1978,0,-169,0,41547
01-Jan-2006,43,40078,40017,40859,40797,36064,0,0,0,0,0,12,7,1893,0,-169,0,1873,0,-169,0,40797
01-Jan-2006,44,38698,38632,39480,39413,34728,0,0,0,0,0,13,12,1893,0,-169,0,1874,0,-169,0,39413
01-Jan-2006,45,37696,37669,38477,38452,33680,0,0,0,0,0,12,13,1991,0,-169,0,1973,0,-169,0,38452
01-Jan-2006,46,37248,37253,38076,38087,33162,0,0,0,0,0,75,73,1988,0,-153,0,1968,0,-153,0,38087
01-Jan-2006,47,35902,35887,37648,37637,31961,0,0,0,0,0,1076,1078,1649,0,-70,0,1631,0,-70,0,37637
01-Jan-2006,48,34895,34920,36621,36652,31122,0,0,0,0,0,1056,1062,1652,0,-70,0,1633,0,-70,0,36652
02-Jan-2006,1,35630,35628,37307,37310,31913,0,0,0,0,0,1007,1012,1652,0,-70,0,1634,0,-70,0,37310
02-Jan-2006,2,35473,35484,37149,37168,31778,0,0,0,0,0,1006,1014,1650,0,-70,0,1631,0,-70,0,37168
02-Jan-2006,3,35081,35111,36712,36900,31397,0,0,0,0,0,961,1119,1651,0,-70,0,1633,0,-70,0,36900
02-Jan-2006,4,34473,34447,36092,36350,30755,0,0,0,0,0,949,1233,1650,0,-70,0,1631,0,-70,0,36350
