SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-JAN-2014,1,30008,29866,31920,31782,27048,1084,2434,0,3349,0,870,873,1990,1000,-157,-285,1958,1000,-157,-285,31782
01-JAN-2014,2,30589,30424,32491,32329,27625,1079,2434,0,3349,0,860,863,1990,1000,-157,-285,1967,1000,-157,-285,32329
01-JAN-2014,3,30306,30080,32521,32255,27361,1079,2434,0,3349,0,1173,1192,1990,1000,-157,-285,1967,1000,-157,-285,32255
01-JAN-2014,4,29280,29031,31735,31481,26447,931,2434,0,3349,0,1413,1422,1992,1000,-157,-285,1967,1000,-157,-285,31481
01-JAN-2014,5,28174,27919,30661,30566,25461,931,2434,0,3349,0,1417,1578,1748,880,-157,-313,1721,880,-157,-313,30566
01-JAN-2014,6,27456,27210,29992,29906,24740,994,2434,0,3349,0,1529,1689,1742,880,-157,-250,1721,880,-157,-250,29906
01-JAN-2014,7,26391,26115,28888,28769,23703,994,2434,0,3349,0,1524,1682,1741,659,-157,-216,1721,659,-157,-216,28769
01-JAN-2014,8,25367,25089,27786,27666,22736,950,2434,0,3349,0,1520,1679,1742,659,-157,-142,1721,659,-157,-142,27666
01-JAN-2014,9,24500,24235,26798,26694,22007,950,2434,0,3349,0,1516,1678,1742,610,-157,-25,1721,610,-157,-25,26694
01-JAN-2014,10,23943,23749,26264,26230,21543,963,2434,0,3349,0,1564,1854,1742,609,-157,49,1721,609,-157,49,26230
01-JAN-2014,11,23657,23472,25976,25955,21340,963,2434,0,3349,0,1559,2066,1741,860,-152,-8,1721,860,-152,-8,25955
01-JAN-2014,12,23544,23393,25903,25886,21241,1017,2434,0,3349,0,1545,2213,1742,860,-142,-72,1721,860,-142,-72,25886
01-JAN-2014,13,24010,23856,26167,26163,21691,1017,2434,0,3349,0,1464,2128,1741,880,-72,-21,1721,880,-72,-21,26163
01-JAN-2014,14,24199,24068,26442,26456,21886,1054,2434,0,3349,0,1405,2117,1742,880,-162,-76,1721,880,-162,-76,26456
01-JAN-2014,15,24490,24310,26243,26175,22121,1054,2434,0,3349,0,837,1593,1741,880,-138,-178,1721,880,-138,-178,26175
01-JAN-2014,16,24456,24268,25946,25740,22098,1193,2434,0,3349,0,485,1217,1742,880,-174,-231,1721,880,-174,-231,25740
01-JAN-2014,17,24958,24793,26162,26002,22610,1193,2434,7,3349,0,103,591,1741,880,-229,-272,1721,880,-229,-272,26002
01-JAN-2014,18,25773,25637,26978,26844,23428,1237,2434,27,3349,0,35,304,1740,880,-242,-328,1721,880,-242,-328,26844
01-JAN-2014,19,27274,27173,28402,28310,24847,1237,2434,52,3349,0,16,214,1982,784,-242,-270,1967,784,-242,-270,28310
01-JAN-2014,20,28917,28807,30083,29978,26341,1332,2434,76,3349,0,13,20,1991,783,-242,-311,1967,783,-242,-311,29978
01-JAN-2014,21,30729,30611,32032,31913,27978,1332,2434,90,3349,0,9,6,1991,1000,-242,-452,1967,1000,-242,-452,31913
01-JAN-2014,22,32354,32232,33724,33605,29454,1339,2434,103,3349,0,8,12,1991,1000,-242,-520,1967,1000,-242,-520,33605
01-JAN-2014,23,33735,33654,35115,35033,30728,1339,2434,102,3349,0,8,7,1991,1000,-242,-530,1967,1000,-242,-530,35033
01-JAN-2014,24,34964,34869,36353,36260,31827,1482,2434,102,3349,0,9,10,1991,1000,-250,-530,1967,1000,-250,-530,36260
01-JAN-2014,25,36135,36007,37526,37401,32915,1482,2434,91,3349,135,10,11,1991,1000,-251,-530,1967,1000,-251,-530,37401
01-JAN-2014,26,36478,36281,37873,37684,33162,1509,2434,82,3349,198,14,17,1991,1000,-251,-530,1967,1000,-251,-530,37684
01-JAN-2014,27,36574,36382,37967,37776,33248,1509,2434,77,3349,147,12,11,1990,1000,-251,-530,1966,1000,-251,-530,37776
01-JAN-2014,28,36590,36394,37983,37792,33288,1353,2434,65,3349,7,12,19,1990,1000,-251,-530,1966,1000,-251,-530,37792
01-JAN-2014,29,36528,36347,37918,37743,33262,1353,2434,49,3349,0,9,17,1991,1000,-251,-530,1967,1000,-251,-530,37743
01-JAN-2014,30,36420,36193,37810,37590,33141,1622,2434,35,3349,0,9,17,1991,1000,-251,-530,1967,1000,-251,-530,37590
01-JAN-2014,31,36582,36357,37906,37687,33228,1622,2434,19,3349,0,9,17,1991,1000,-251,-464,1967,1000,-251,-464,37687
01-JAN-2014,32,37139,36985,38426,38280,33725,1484,2434,17,3349,0,9,15,1990,1000,-251,-427,1967,1000,-251,-427,38280
01-JAN-2014,33,38659,38458,39933,39735,35112,1484,2434,0,3349,0,9,14,1991,1000,-185,-480,1967,1000,-185,-480,39735
01-JAN-2014,34,39717,39517,40993,40794,36144,1492,2434,0,3349,0,12,17,1990,1000,-184,-480,1967,1000,-184,-480,40794
01-JAN-2014,35,40491,40294,41792,41596,36907,1492,2434,0,3349,0,11,14,1990,1000,-251,-439,1967,1000,-251,-439,41596
01-JAN-2014,36,40218,39968,41511,41262,36676,1499,2434,0,3349,0,12,14,1991,1000,-251,-430,1967,1000,-251,-430,41262
01-JAN-2014,37,39312,39106,40612,40404,35881,1499,2434,0,3349,0,16,16,1990,1000,-246,-438,1967,1000,-246,-438,40404
01-JAN-2014,38,38536,38265,39847,39579,35083,1476,2434,0,3349,0,15,18,1991,1000,-216,-480,1967,1000,-216,-480,39579
01-JAN-2014,39,37499,37266,38803,38575,34132,1476,2434,0,3349,0,14,18,1991,1000,-251,-439,1967,1000,-251,-439,38575
01-JAN-2014,40,36604,36342,37898,37640,33275,1413,2434,0,3349,0,13,18,1991,1000,-251,-430,1967,1000,-251,-430,37640
01-JAN-2014,41,35782,35520,37076,36816,32443,1413,2434,0,3349,0,13,16,1990,1000,-251,-430,1967,1000,-251,-430,36816
01-JAN-2014,42,34380,34191,35661,35474,31250,1355,2434,0,3349,0,15,14,1990,1000,-251,-415,1967,1000,-251,-415,35474
01-JAN-2014,43,33525,33301,34758,34536,30477,1355,2434,0,3349,0,13,16,1990,1000,-251,-369,1967,1000,-251,-369,34536
01-JAN-2014,44,32036,31815,33310,33093,29135,1296,2434,0,3349,0,12,17,1990,1000,-251,-411,1967,1000,-251,-411,33093
01-JAN-2014,45,30737,30516,32007,31790,27916,1296,2434,0,3349,0,9,14,1990,1000,-251,-410,1967,1000,-251,-410,31790
01-JAN-2014,46,29769,29610,31038,30876,26917,1270,2434,0,3349,0,12,10,1990,1000,-251,-406,1967,1000,-251,-406,30876
01-JAN-2014,47,28086,27803,29592,29327,25357,1270,2434,0,3349,0,265,284,1989,1000,-251,-390,1967,1000,-251,-390,29327
01-JAN-2014,48,27061,26796,28947,28692,24443,1273,2434,0,3349,0,672,685,1991,1000,-237,-377,1967,1000,-237,-377,28692
02-JAN-2014,1,27103,26908,29181,28901,24564,1273,2434,0,3352,0,1017,1038,1844,928,-176,-285,1818,928,-176,-285,28901
02-JAN-2014,2,27423,27165,29599,29291,24914,1144,2434,0,3352,0,1189,1195,1840,928,-138,-249,1819,928,-138,-249,29291
02-JAN-2014,3,27053,26839,29439,29233,24602,1144,2434,0,3352,0,1470,1483,1840,928,-175,-141,1819,928,-175,-141,29233
02-JAN-2014,4,26289,26113,28604,28563,23890,1153,2434,0,3352,0,1516,1651,1839,927,-175,-24,1819,927,-175,-24,28563
02-JAN-2014,5,25768,25549,27993,27903,23428,1153,2434,0,3352,0,1516,1645,1840,928,-109,25,1819,928,-109,25,27903
02-JAN-2014,6,25666,25423,27890,27781,23290,1002,2434,0,3352,0,1516,1660,1839,928,-108,100,1819,928,-108,100,27781
02-JAN-2014,7,24989,24765,27269,27328,22569,1002,2434,0,3352,0,1504,1788,1839,928,-176,126,1819,928,-176,126,27328
02-JAN-2014,8,24384,24162,26658,26730,22000,1014,2434,0,3352,0,1499,1929,1839,928,-175,176,1819,928,-175,176,26730
02-JAN-2014,9,23970,23728,26211,26250,21689,1014,2434,0,3352,0,1481,2136,1838,928,-160,226,1818,928,-160,226,26250
02-JAN-2014,10,23885,23722,26103,26219,21654,1074,2434,0,3352,0,1468,2121,1838,928,-150,272,1818,928,-150,272,26219
02-JAN-2014,11,24522,24305,26634,26585,22330,1074,2434,0,3352,0,1345,1918,1839,928,-167,177,1818,928,-167,177,26585
02-JAN-2014,12,25511,25389,27560,27595,23286,968,2434,0,3352,0,1309,1692,1839,928,-140,27,1819,928,-140,27,27595
02-JAN-2014,13,27959,27922,29197,29238,25675,968,2434,0,3352,0,514,824,1840,816,-33,-91,1819,816,-33,-91,29238
02-JAN-2014,14,30114,30052,30936,30880,27799,1009,2434,0,3352,0,18,107,1839,745,-30,-174,1819,745,-30,-174,30880
02-JAN-2014,15,32641,32537,33654,33525,30235,1009,2434,0,3352,0,16,17,1985,-104,-128,-165,1967,-104,-128,-165,33525
02-JAN-2014,16,34386,34230,35433,35255,31964,984,2434,0,3352,0,14,17,1990,-104,-128,-201,1967,-104,-128,-201,35255
02-JAN-2014,17,36007,35898,37116,37010,33496,984,2434,22,3352,0,15,18,1991,314,-175,-319,1967,314,-175,-319,37010
02-JAN-2014,18,37443,37320,38571,38451,34891,954,2434,138,3352,0,15,14,1991,315,-177,-336,1967,315,-177,-336,38451
02-JAN-2014,19,38999,38764,40249,40019,36308,954,2434,346,3352,0,14,16,1991,722,-236,-400,1967,722,-236,-400,40019
02-JAN-2014,20,39626,39389,40924,40688,36774,939,2434,579,3352,0,13,16,1991,724,-250,-435,1967,724,-250,-435,40688
02-JAN-2014,21,39980,39764,41230,41017,36969,939,2434,791,3352,0,11,14,1991,662,-214,-425,1967,662,-214,-425,41017
02-JAN-2014,22,40084,39918,41371,41207,36976,1017,2434,1020,3352,0,11,14,1991,661,-251,-425,1967,661,-251,-425,41207
02-JAN-2014,23,40148,40021,41456,41330,36957,1017,2434,1130,3352,0,12,14,1991,934,-251,-445,1967,934,-251,-445,41330
02-JAN-2014,24,40219,40104,41462,41344,36975,973,2434,1160,3352,0,14,12,1991,934,-184,-445,1967,934,-184,-445,41344
02-JAN-2014,25,40494,40361,41699,41566,37174,973,2434,1150,3352,0,10,10,1991,956,-150,-445,1967,956,-150,-445,41566
02-JAN-2014,26,40455,40243,41659,41450,37063,1053,2434,1140,3352,0,9,12,1991,957,-150,-445,1967,957,-150,-445,41450
02-JAN-2014,27,40382,40188,41586,41395,36990,1053,2434,983,3352,0,9,12,1991,889,-150,-445,1967,889,-150,-445,41395
02-JAN-2014,28,40419,40230,41673,41489,37025,1104,2434,790,3352,0,8,12,1991,889,-183,-463,1967,889,-183,-463,41489
02-JAN-2014,29,40521,40384,41900,41766,37176,1104,2434,601,3352,0,8,12,1990,1000,-251,-520,1966,1000,-251,-520,41766
02-JAN-2014,30,40525,40367,41905,41752,37214,1036,2434,352,3352,0,9,12,1990,999,-251,-520,1966,999,-251,-520,41752
02-JAN-2014,31,41119,40969,42498,42355,37742,1036,2434,154,3352,0,8,13,1991,663,-251,-520,1967,663,-251,-520,42355
02-JAN-2014,32,42173,42063,43554,43450,38716,921,2434,32,3352,0,10,17,1992,662,-251,-520,1967,662,-251,-520,43450
02-JAN-2014,33,44275,44246,45609,45578,40560,921,2434,0,3352,0,14,10,1991,681,-200,-520,1967,681,-200,-520,45578
02-JAN-2014,34,46972,46905,48322,48252,43052,1029,2434,0,3352,125,8,2,1991,680,-222,-520,1968,680,-222,-520,48252
02-JAN-2014,35,47882,47804,49242,49161,43863,1029,2434,0,3352,206,3,0,1991,1000,-227,-530,1968,1000,-227,-530,49161
