SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-JAN-2012,1,30263,30246,31262,30869,27228,1152,1866,0,1122,0,399,401,1746,993,0,0,1725,993,0,0,30869
01-JAN-2012,2,30550,30529,31163,31143,27588,1152,1866,0,1122,0,13,15,1747,992,0,0,1725,992,0,0,31143
01-JAN-2012,3,29974,29933,30594,30553,27101,1152,1866,0,1122,0,20,20,1747,993,0,0,1725,993,0,0,30553
01-JAN-2012,4,28664,28628,30011,29972,25934,1290,1866,0,1122,0,747,744,1748,992,0,0,1725,992,0,0,29972
01-JAN-2012,5,27695,27662,29441,29451,25077,1290,1866,0,1122,0,1146,1189,1748,993,0,0,1725,993,0,0,29451
01-JAN-2012,6,26839,26792,28578,28645,24224,1158,1866,0,1122,0,1139,1253,1749,992,0,0,1725,992,0,0,28645
01-JAN-2012,7,25640,25617,27375,27422,23002,1158,1866,0,1122,0,1135,1375,1748,993,0,0,1726,993,0,0,27422
01-JAN-2012,8,24711,24465,26840,26834,22113,1079,1866,0,1122,0,1529,1770,1749,992,0,0,1725,992,0,0,26834
01-JAN-2012,9,23782,23645,26181,26503,21308,1079,1866,0,1122,0,1799,2258,1749,992,0,0,1725,992,0,0,26503
01-JAN-2012,10,23138,23125,25598,26061,20720,1051,1866,0,1122,0,1860,2336,1749,993,0,0,1725,993,0,0,26061
01-JAN-2012,11,23062,22901,25503,25815,20408,1051,1866,0,1122,0,1841,2314,1749,992,0,0,1725,992,0,0,25815
01-JAN-2012,12,23040,22879,25470,25783,20341,1146,1866,0,1122,0,1830,2304,1749,993,0,0,1725,993,0,0,25783
01-JAN-2012,13,23180,23203,25453,25946,20672,1146,1866,0,1122,0,1673,2143,1547,992,0,0,1524,992,0,0,25946
01-JAN-2012,14,23306,23291,25539,25994,20838,988,1866,0,1122,0,1633,2103,1545,993,0,0,1524,993,0,0,25994
01-JAN-2012,15,23398,23372,25126,25567,20919,988,1866,1,1122,0,1128,1595,1546,992,0,0,1524,992,0,0,25567
01-JAN-2012,16,23363,23342,24856,25124,20957,976,1866,1,1122,0,893,1224,1545,993,0,0,1525,993,0,0,25124
01-JAN-2012,17,23988,23827,24648,24489,21345,976,1866,2,1122,0,60,140,1749,992,0,0,1726,992,0,0,24489
01-JAN-2012,18,24840,24679,25444,25289,22212,1026,1866,2,1122,0,4,10,1749,992,0,0,1725,992,0,0,25289
01-JAN-2012,19,26219,26058,26829,26673,23473,1026,1866,11,1122,0,10,16,1748,993,0,0,1725,993,0,0,26673
01-JAN-2012,20,27733,27610,28349,28229,24852,989,1866,19,1122,0,16,20,1749,992,0,0,1725,992,0,0,28229
01-JAN-2012,21,29245,29379,29861,29999,26558,989,1866,30,1122,0,16,20,1747,993,0,0,1725,993,0,0,29999
01-JAN-2012,22,30695,30723,31311,31343,27893,1001,1866,40,1122,0,16,20,1748,992,0,0,1725,992,0,0,31343
01-JAN-2012,23,32055,32095,32671,32716,29116,1001,1866,45,1122,0,16,20,1748,993,0,0,1725,993,0,0,32716
01-JAN-2012,24,33132,33211,33749,33831,30048,1025,1866,50,1122,0,17,18,1748,992,0,0,1725,992,0,0,33831
01-JAN-2012,25,34244,34325,34858,34945,31075,1025,1866,48,1122,0,14,14,1748,993,0,0,1725,993,0,0,34945
01-JAN-2012,26,34863,34941,35477,35552,31601,1037,1866,45,1122,0,14,9,1747,992,0,0,1725,992,0,0,35552
01-JAN-2012,27,35120,35195,35731,35807,31824,1037,1866,37,1122,0,11,9,1747,993,0,0,1725,993,0,0,35807
01-JAN-2012,28,35238,35304,35849,35920,31932,1087,1866,28,1122,0,11,11,1747,992,0,0,1725,992,0,0,35920
01-JAN-2012,29,35417,35459,36031,36074,32137,1087,1866,22,1122,0,14,14,1747,993,0,0,1726,993,0,0,36074
01-JAN-2012,30,35455,35476,36070,36093,32164,1094,1866,15,1122,0,15,16,1747,992,0,0,1725,992,0,0,36093
01-JAN-2012,31,35789,35785,36403,36403,32409,1094,1866,10,1122,0,14,18,1746,993,0,0,1725,993,0,0,36403
01-JAN-2012,32,36332,36343,36947,36964,32953,967,1866,5,1122,0,15,22,1747,992,0,0,1726,992,0,0,36964
01-JAN-2012,33,37730,37808,38347,38431,34166,967,1866,3,1122,0,17,22,1747,993,0,0,1726,993,0,0,38431
01-JAN-2012,34,38815,38898,39428,39515,35141,979,1866,0,1122,0,13,16,1748,992,0,0,1725,992,0,0,39515
01-JAN-2012,35,39370,39474,39979,40085,35681,979,1866,0,1122,0,9,11,1747,993,0,0,1725,993,0,0,40085
01-JAN-2012,36,39230,39341,39840,39952,35624,948,1866,0,1122,0,10,11,1747,992,0,0,1725,992,0,0,39952
01-JAN-2012,37,38689,38748,39299,39362,35155,948,1866,0,1122,0,10,13,1747,993,0,0,1725,993,0,0,39362
01-JAN-2012,38,37806,37788,38418,38397,34294,866,1866,0,1122,0,12,8,1748,992,0,0,1725,992,0,0,38397
01-JAN-2012,39,36875,36829,37487,37446,33431,866,1866,0,1122,0,12,15,1747,992,0,0,1726,992,0,0,37446
01-JAN-2012,40,35575,35579,36185,36195,32215,926,1866,0,1122,0,10,16,1748,993,0,0,1725,993,0,0,36195
01-JAN-2012,41,35176,35174,35785,35791,31874,926,1866,0,1122,0,9,17,1747,992,0,0,1725,992,0,0,35791
01-JAN-2012,42,34399,34408,35007,35023,31102,936,1866,0,1122,0,8,15,1748,993,0,0,1725,993,0,0,35023
01-JAN-2012,43,33270,33357,33878,33971,30123,936,1866,0,1122,0,8,14,1746,992,0,0,1725,992,0,0,33971
01-JAN-2012,44,32211,32292,32819,32905,29167,977,1866,0,1122,0,8,13,1747,992,0,0,1725,992,0,0,32905
01-JAN-2012,45,31314,31351,31922,31963,28271,977,1866,0,1122,0,8,12,1746,993,0,0,1725,993,0,0,31963
01-JAN-2012,46,30348,30416,30961,31033,27193,936,1866,0,1122,0,13,16,1747,992,0,0,1725,992,0,0,31033
01-JAN-2012,47,28983,29029,29808,29856,25882,936,1866,0,1122,0,225,227,1747,992,0,0,1725,992,0,0,29856
01-JAN-2012,48,28107,28178,29335,29406,25121,936,1866,0,1122,0,628,628,1749,993,0,0,1725,993,0,0,29406
02-JAN-2012,1,28544,28614,29551,29621,25619,936,1866,0,1128,0,407,408,1749,992,0,0,1725,992,0,0,29621
02-JAN-2012,2,28563,28651,29628,29719,25680,1005,1866,0,1128,0,465,467,1748,992,0,0,1725,992,0,0,29719
02-JAN-2012,3,28103,28143,29556,29706,25246,1005,1866,0,1128,0,853,963,1749,993,0,0,1725,993,0,0,29706
02-JAN-2012,4,27212,27253,29183,29457,24438,1022,1866,0,1128,0,1371,1604,1749,992,0,0,1725,992,0,0,29457
02-JAN-2012,5,26745,26722,28976,29193,24068,1022,1866,0,1128,0,1631,1871,1749,992,0,0,1725,992,0,0,29193
02-JAN-2012,6,26445,26387,28638,28929,23745,995,1866,0,1128,0,1593,1942,1749,993,0,0,1725,993,0,0,28929
02-JAN-2012,7,25713,25654,28013,28305,22987,995,1866,0,1128,0,1700,2051,1750,992,0,0,1725,992,0,0,28305
02-JAN-2012,8,24898,24880,27331,27788,22205,956,1866,0,1128,0,1833,2308,1750,992,0,0,1725,992,0,0,27788
02-JAN-2012,9,24323,24335,26779,27264,21736,956,1866,0,1128,0,1856,2329,1749,993,0,0,1725,993,0,0,27264
02-JAN-2012,10,24066,24094,26507,27007,21516,1053,1866,0,1128,0,1841,2313,1750,992,0,0,1725,992,0,0,27007
02-JAN-2012,11,24076,24104,26497,26996,21550,1053,1866,0,1128,0,1821,2292,1749,567,0,0,1725,567,0,0,26996
02-JAN-2012,12,24408,24412,26701,27176,21860,992,1866,3,1128,0,1693,2164,1749,568,0,0,1725,568,0,0,27176
02-JAN-2012,13,25550,25554,27658,28041,22975,992,1866,4,1128,0,1366,1834,1749,-142,0,0,1725,-142,0,0,28041
02-JAN-2012,14,26314,26267,28120,28453,23757,1053,1866,4,1128,0,1064,1533,1749,-142,0,0,1725,-142,0,0,28453
02-JAN-2012,15,27028,26984,28120,28464,24458,1053,1866,4,1128,0,73,545,1737,-419,0,0,1714,-419,0,0,28464
