SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Jan-2007,1,35628,35726,36409,36706,32120,0,0,0,0,0,181,418,1921,0,16,0,1903,0,16,0,36706
01-Jan-2007,2,36082,36201,36690,37137,32567,0,0,0,0,0,8,336,1921,0,16,0,1904,0,16,0,37137
01-Jan-2007,3,35908,36065,36516,37021,32400,0,0,0,0,0,8,353,1920,0,16,0,1904,0,16,0,37021
01-Jan-2007,4,34823,34888,35436,35969,31307,0,0,0,0,0,13,481,1920,0,16,0,1901,0,16,0,35969
01-Jan-2007,5,33790,33824,34649,35155,30309,0,0,0,0,0,259,731,1917,0,16,0,1898,0,16,0,35155
01-Jan-2007,6,33145,33205,34052,34586,29630,0,0,0,0,0,307,780,1917,0,16,0,1898,0,16,0,34586
01-Jan-2007,7,31642,31768,33270,33773,28294,0,0,0,0,0,1028,1416,1918,0,16,0,1900,0,16,0,33773
01-Jan-2007,8,30329,30386,32142,32560,26968,0,0,0,0,0,1213,1574,1918,0,16,0,1898,0,16,0,32560
01-Jan-2007,9,29040,29090,31113,31523,25840,0,0,0,0,0,1473,1833,1917,0,16,0,1899,0,16,0,31523
01-Jan-2007,10,28443,28444,30507,30870,25302,0,0,0,0,0,1464,1826,1918,0,16,0,1899,0,16,0,30870
01-Jan-2007,11,27967,27960,30017,30368,24934,0,0,0,0,0,1450,1808,1917,0,16,0,1900,0,16,0,30368
01-Jan-2007,12,27723,27751,29855,30257,24725,0,0,0,0,0,1532,1887,1917,0,16,0,1899,0,16,0,30257
01-Jan-2007,13,27810,27904,29865,30278,24930,0,0,0,0,0,1455,1774,1917,0,16,0,1898,0,16,0,30278
01-Jan-2007,14,27712,27845,29653,29987,24919,0,0,0,0,0,1341,1587,1921,0,16,0,1903,0,16,0,29987
01-Jan-2007,15,27516,27590,29447,29535,24743,0,0,0,0,0,1331,1494,1842,0,16,0,1823,0,16,0,29535
01-Jan-2007,16,27069,27101,28807,28700,24420,0,0,0,0,0,1138,1180,1322,0,16,0,1305,0,16,0,28700
01-Jan-2007,17,27093,27176,28352,28222,24516,0,0,0,0,0,659,662,1300,0,16,0,1285,0,16,0,28222
01-Jan-2007,18,27777,27862,28384,28469,25251,0,0,0,0,0,7,7,1300,0,16,0,1285,0,16,0,28469
01-Jan-2007,19,29048,29175,29652,29781,26471,0,0,0,0,0,4,5,1299,0,16,0,1284,0,16,0,29781
