Date,Open,High,Low,Close,Adj Close,Volume
1995-12-01,271.597992,273.541992,257.984985,258.634003,76.749817,152961672
1996-01-01,258.634003,266.411987,248.910004,260.578003,77.326721,207155422
1996-02-01,264.46701,264.46701,251.503006,253.447998,75.210892,123260041
1996-03-01,253.447998,254.095993,246.317993,252.475998,74.922447,86103511
1996-04-01,256.040985,265.764008,250.207001,265.764008,78.865692,98633780
1996-05-01,258.634003,258.634003,228.815994,235.945999,70.017143,110719620
1996-06-01,237.891006,237.891006,218.445007,221.037994,65.593208,164061886
1996-07-01,222.981995,232.705002,213.906998,228.167999,69.571426,39814467
1996-08-01,228.815994,234.649994,213.906998,225.574997,68.780792,75001773
1996-09-01,226.223007,227.520004,216.5,221.037994,67.397392,31522350
1996-10-01,226.871994,234.649994,221.686005,234.649994,71.547867,99812852
1996-11-01,230.761002,257.984985,229.464005,253.447998,77.279655,83538475
1996-12-01,246.317993,253.447998,235.945999,253.447998,77.279655,59090497
1997-01-01,253.447998,278.727997,253.447998,270.300995,83.891281,124010090
1997-02-01,267.059998,271.597992,264.46701,269.005005,83.489052,43524376
1997-03-01,267.708008,281.321014,267.708008,271.597992,84.293831,81952206
1997-04-01,267.708008,294.933014,267.708008,289.747009,89.926567,127922381
1997-05-01,291.044006,302.710999,282.617004,293.636993,91.133896,85772871
1997-06-01,292.339996,292.339996,273.541992,284.562012,88.31736,88452061
1997-07-01,302.062988,340.955994,302.062988,333.177002,105.840309,160877070
1997-08-01,333.825012,351.326996,320.860992,344.845001,109.546829,79174138
1997-09-01,350.678986,371.42099,341.604004,366.884003,116.547981,72368844
1997-10-01,366.234985,386.329987,359.105011,364.290985,115.724274,51820151
1997-11-01,366.884003,391.515015,365.587006,381.144012,121.077995,56630153
1997-12-01,391.515015,391.515015,366.884003,374.661987,119.018822,48713525
1998-01-01,374.661987,409.665009,347.437988,374.661987,121.075684,126638881
1998-02-01,378.550995,378.550995,345.757996,375.394989,142.176163,111265227
1998-03-01,381.157013,387.467987,360.027008,387.467987,146.748672,82974688
